visit_id,total_time_diff,client_id,variation
107406868_34571948150_269115,90.0,7305050,Test
107410475_26947979579_355416,7.0,1260122,Control
107419964_89811129887_112985,89.0,7897865,Test
107444312_10965878893_819438,1241.0,5473597,Test
107446590_29397725040_254521,252.0,3642371,Test
107457055_14540444760_25794,53.0,904409,Test
107477768_37839328958_783322,224.0,7312748,Test
10748725_78351965784_819901,367.0,4084333,Control
107491241_30335965863_650052,89.0,8401598,Control
107498847_67594416067_869316,472.0,4604290,Control
10750371_16783231389_198484,502.0,9907037,Control
107510365_50187694165_794085,3388.0,6250207,Test
107553382_82311671483_64579,0.0,3830374,Control
107556911_7964194388_96072,1016.0,4147935,Test
107570996_6061083640_760687,127.0,8225466,Test
10757496_53384070887_548622,3.0,5951934,Control
10757566_74040962696_428304,192.0,1399753,Test
107585938_33022911569_746668,216.0,5740867,Test
1075870_23455566013_880328,329.0,5639140,Test
107601062_62932731109_515928,500.0,421097,Test
107609865_47324646473_565861,436.0,4293151,Test
107629066_90159587156_918030,317.0,1151298,Test
107631330_22230037486_301416,982.0,9696533,Control
107641279_72757423441_432705,316.0,8208998,Control
107649144_20982544509_412904,0.0,4035739,Control
107667097_14492710514_779413,127.0,7564941,Control
107667252_13697712358_789394,0.0,3759800,Test
107670967_98557689633_256472,161.0,2056063,Control
107683949_79865283744_48158,395.0,6270802,Test
107693237_96368288508_746463,352.0,8989552,Control
107698779_43951260673_801523,1960.0,8990589,Test
107725310_23422533180_657653,310.0,8444884,Test
107737080_63213007869_706529,220.0,5073169,Control
107745500_51184288287_394682,72.0,5098302,Control
107746643_24681818684_875549,1084.0,2528365,Test
107752283_21558128430_578425,0.0,4514549,Test
10775349_62698260521_997049,215.0,5949693,Test
107761855_65378484307_236886,453.0,494576,Test
107800737_87824524171_447246,292.0,2715028,Test
10781030_88249762808_198895,243.0,4469398,Control
107812476_47194111740_635808,399.0,8824053,Control
107819680_28577379079_882368,328.0,4101933,Test
107847401_7196325027_942569,152.0,1449950,Control
107849716_36425670871_483114,296.0,7358211,Test
107879944_62966384337_222412,308.0,7867427,Test
107887570_79926483891_235445,0.0,7670830,Control
107896371_21906879108_880611,197.0,1085528,Test
107897910_17884108306_474303,64.0,1482734,Test
107914021_23456028454_698003,136.0,8517967,Test
107922665_18392585668_172608,237.0,5724720,Test
